DATE,CITY,ENERGY_GENERATED
2024-02-01,Guwahati,238.685
2024-03-01,Guwahati,273.11
2024-04-01,Guwahati,338.135
2024-05-01,Guwahati,295.725
2024-06-01,Guwahati,218.92
2024-07-01,Guwahati,260.87
2024-08-01,Guwahati,252.84
2024-09-01,Guwahati,261.80999999999995
2024-10-01,Guwahati,194.315
2024-11-01,Guwahati,236.63
2024-12-01,Guwahati,216.04
2016-01-01,Hyderabad,291.535
2016-02-01,Hyderabad,341.61
2016-03-01,Hyderabad,366.545
2016-04-01,Hyderabad,420.53
2016-05-01,Hyderabad,420.58
2016-06-01,Hyderabad,345.19
2016-07-01,Hyderabad,329.315
2016-08-01,Hyderabad,349.89
2016-09-01,Hyderabad,277.265
2016-10-01,Hyderabad,330.17
2016-11-01,Hyderabad,312.01
2016-12-01,Hyderabad,293.25
2017-01-01,Hyderabad,301.40000000000003
2017-02-01,Hyderabad,359.225
2017-03-01,Hyderabad,386.93000000000006
2017-04-01,Hyderabad,400.35
2017-05-01,Hyderabad,410.67
2017-06-01,Hyderabad,351.76
2017-07-01,Hyderabad,367.01
